Symbol,GICS Sector,GICS Sub-Industry
BWXT,Industrials,Industrial Machinery/Components
BX,Finance,Investment Managers
BXC,Consumer Discretionary,Wholesale Distributors
BXDC,Finance,Real Estate
BXMT,Real Estate,Real Estate Investment Trusts
BXP,Real Estate,Real Estate Investment Trusts
BY,Finance,Major Banks
BYD,Consumer Discretionary,Hotels/Resorts
BZH,Consumer Discretionary,Homebuilding
C,Finance,Major Banks
CAAP,Consumer Discretionary,Aerospace
CACI,Technology,EDP Services
CAG,Consumer Staples,Packaged Foods
CAH,Health Care,Other Pharmaceuticals
CAL,Consumer Discretionary,Shoe Manufacturing
CALX,Consumer Discretionary,Telecommunications Equipment
CALY,Consumer Discretionary,Recreational Games/Products/Toys
CARR,Industrials,Industrial Machinery/Components
CARS,Technology,EDP Services
CAT,Industrials,Construction/Ag Equipment/Trucks
CAVA,Consumer Discretionary,Restaurants
CB,Finance,Property-Casualty Insurers
CBAN,Finance,Major Banks
CBL,Real Estate,Real Estate Investment Trusts
CBRE,Finance,Real Estate
CBT,Industrials,Major Chemicals
CBU,Finance,Major Banks
CBZ,Consumer Discretionary,Business Services
CC,Industrials,Major Chemicals
CCI,Real Estate,Real Estate Investment Trusts
CCJ,Basic Materials,Other Metals and Minerals
CCK,Industrials,Containers/Packaging
CCL,Consumer Discretionary,Marine Transportation
CCS,Consumer Discretionary,Homebuilding
CCU,Consumer Staples,Beverages (Production/Distribution)
CDE,Basic Materials,Precious Metals
CDP,Real Estate,Real Estate Investment Trusts
CDRE,Health Care,Industrial Specialties
CE,Industrials,Major Chemicals
CEPU,Utilities,Electric Utilities: Central
CF,Industrials,Agricultural Chemicals
CFG,Finance,Major Banks
CFR,Finance,Major Banks
CGAU,Basic Materials,Precious Metals
CHCT,Real Estate,Real Estate Investment Trusts
CHD,Consumer Discretionary,Package Goods/Cosmetics
CHE,Health Care,Medical/Nursing Services
CHH,Consumer Discretionary,Hotels/Resorts
CHT,Telecommunications,Telecommunications Equipment
CHWY,Consumer Discretionary,Catalog/Specialty Distribution
CI,Health Care,Medical Specialities
CIB,Finance,Commercial Banks
CIEN,Utilities,Telecommunications Equipment
CIM,Real Estate,Real Estate Investment Trusts
CION,Finance,Finance/Investors Services
CL,Consumer Discretionary,Package Goods/Cosmetics
CLB,Energy,Oilfield Services/Equipment
CLDT,Real Estate,Real Estate Investment Trusts
CLF,Basic Materials,Metal Mining
CLH,Industrials,Environmental Services
CLS,Technology,Electrical Products
CLW,Basic Materials,Paper
CLX,Consumer Discretionary,Specialty Chemicals
CM,Finance,Commercial Banks
CMBT,Consumer Discretionary,Marine Transportation
CMC,Industrials,Steel/Iron Ore
CMG,Consumer Discretionary,Restaurants
CMI,Industrials,Industrial Machinery/Components
CMP,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
CMRE,Consumer Discretionary,Marine Transportation
CMS,Utilities,Power Generation
CNA,Finance,Property-Casualty Insurers
CNC,Health Care,Medical Specialities
CNH,Industrials,Construction/Ag Equipment/Trucks
CNI,Industrials,Railroads
CNK,Consumer Discretionary,Movies/Entertainment
CNM,Consumer Discretionary,Durable Goods
CNMD,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CNNE,Consumer Discretionary,Restaurants
CNO,Finance,Accident &Health Insurance
CNP,Utilities,Electric Utilities: Central
CNQ,Energy,Oil & Gas Production
CNR,Energy,Coal Mining
CNS,Finance,Investment Managers
CNX,Energy,Oil & Gas Production
CODI,Consumer Discretionary,Home Furnishings
COF,Finance,Major Banks
COHR,Technology,Electronic Components
COLD,Real Estate,Real Estate Investment Trusts
COMP,Finance,Real Estate
CON,Health Care,Medical Specialities
COP,Energy,Integrated oil Companies
COR,Health Care,Other Pharmaceuticals
COUR,Technology,Computer Software: Prepackaged Software
CP,Industrials,Railroads
CPA,Consumer Discretionary,Air Freight/Delivery Services
CPAY,Consumer Discretionary,Business Services
CPF,Finance,Major Banks
CPK,Utilities,Oil & Gas Production
CPNG,Consumer Discretionary,Catalog/Specialty Distribution
CPRI,Consumer Discretionary,Apparel
CPS,Consumer Discretionary,Auto Parts:O.E.M.
CPT,Real Estate,Real Estate Investment Trusts
CR,Industrials,Metal Fabrications
CRBG,Finance,Life Insurance
CRC,Energy,Oil & Gas Production
CRCL,Finance,Finance: Consumer Services
CRGY,Energy,Oil & Gas Production
CRH,Industrials,Building Materials
CRI,Consumer Discretionary,Apparel
CRK,Energy,Oil & Gas Production
CRL,Health Care,Biotechnology: Commercial Physical & Biological Resarch
CRM,Technology,Computer Software: Prepackaged Software
CRS,Industrials,Steel/Iron Ore
CSL,Industrials,Specialty Chemicals
CSQR,Technology,Computer Software: Programming Data Processing
CSR,Real Estate,Real Estate Investment Trusts
CSTM,Industrials,Metal Fabrications
CSV,Consumer Discretionary,Other Consumer Services
CSW,Industrials,Home Furnishings
CTEV,Consumer Discretionary,Business Services
CTO,Real Estate,Real Estate Investment Trusts
CTOS,Consumer Discretionary,Diversified Commercial Services
CTRE,Real Estate,Real Estate Investment Trusts
CTRI,Utilities,Oil & Gas Production
CTS,Technology,Electrical Products
CTVA,Consumer Staples,Farming/Seeds/Milling
CUBE,Real Estate,Real Estate Investment Trusts
CUBI,Finance,Major Banks
CURB,Finance,Real Estate
CUZ,Real Estate,Real Estate Investment Trusts
CVE,Energy,Oil & Gas Production
CVEO,Consumer Discretionary,Hotels/Resorts
CVI,Energy,Integrated oil Companies
CVLG,Industrials,Trucking Freight/Courier Services
CVNA,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CVS,Consumer Staples,Retail-Drug Stores and Proprietary Stores
CVSA,Real Estate,Other Consumer Services
CVX,Energy,Integrated oil Companies
CW,Technology,Industrial Machinery/Components
CWEN,Utilities,Electric Utilities: Central
CWH,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CWK,Finance,Real Estate
CWT,Utilities,Water Supply
CX,Industrials,Building Materials
CXM,Technology,Computer Software: Prepackaged Software
CXT,Industrials,Metal Fabrications
CXW,Real Estate,Real Estate Investment Trusts
CYD,Industrials,Industrial Machinery/Components
D,Utilities,Electric Utilities: Central
DAL,Consumer Discretionary,Air Freight/Delivery Services
DAN,Consumer Discretionary,Auto Parts:O.E.M.
DAR,Consumer Staples,Packaged Foods
DB,Finance,Major Banks
DBD,Miscellaneous,Office Equipment/Supplies/Services
DBI,Consumer Discretionary,Clothing/Shoe/Accessory Stores
DBRG,Real Estate,Real Estate Investment Trusts
DCH,Consumer Discretionary,Auto Parts:O.E.M.
DCI,Industrials,Pollution Control Equipment
DCO,Industrials,Military/Government/Technical
DCOM,Finance,Major Banks
DD,Industrials,Major Chemicals
DDS,Consumer Discretionary,Department/Specialty Retail Stores
DE,Industrials,Industrial Machinery/Components
DEA,Real Estate,Real Estate Investment Trusts
DECK,Consumer Discretionary,Shoe Manufacturing
DEI,Real Estate,Real Estate Investment Trusts
DELL,Technology,Computer Manufacturing
DEO,Consumer Staples,Beverages (Production/Distribution)
DFH,Consumer Discretionary,Homebuilding
DFIN,Consumer Discretionary,Other Consumer Services
DG,Consumer Discretionary,Department/Specialty Retail Stores
DGX,Health Care,Medical Specialities
DHI,Consumer Discretionary,Homebuilding
DHR,Industrials,Industrial Machinery/Components
DHT,Consumer Discretionary,Marine Transportation
DIN,Consumer Discretionary,Restaurants
DINO,Energy,Natural Gas Distribution
DIS,Consumer Discretionary,Services-Misc. Amusement & Recreation
DK,Energy,Integrated oil Companies
DKL,Energy,Natural Gas Distribution
DKS,Consumer Discretionary,Other Specialty Stores
DLB,Miscellaneous,Multi-Sector Companies
DLR,Real Estate,Real Estate Investment Trusts
DLX,Consumer Discretionary,Publishing
DLY,Finance,Investment Managers
DMC,Consumer Staples,Farming/Seeds/Milling
DNA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DNOW,Consumer Discretionary,Oil and Gas Field Machinery
DOC,Real Estate,Real Estate Investment Trusts
DOCN,Technology,Computer Software: Programming Data Processing
DOCS,Technology,EDP Services
DOLE,Consumer Staples,Farming/Seeds/Milling
DOV,Industrials,Industrial Machinery/Components
DOW,Industrials,Major Chemicals
DPC,Telecommunications,Metal Fabrications
DQ,Technology,Semiconductors
DRD,Basic Materials,Precious Metals
DRI,Consumer Discretionary,Restaurants
DSL,Finance,Trusts Except Educational Religious and Charitable
DT,Technology,Computer Software: Prepackaged Software
DTE,Utilities,Electric Utilities: Central
DTM,Utilities,Natural Gas Distribution
DUK,Utilities,Power Generation
DV,Technology,Computer Software: Programming Data Processing
DVA,Health Care,Misc Health and Biotechnology Services
DVN,Energy,Oil & Gas Production
DX,Real Estate,Real Estate Investment Trusts
DXC,Technology,EDP Services
DY,Industrials,Water Sewer Pipeline Comm & Power Line Construction
E,Energy,Oil & Gas Production
EAT,Consumer Discretionary,Restaurants
EBF,Consumer Discretionary,Office Equipment/Supplies/Services
EC,Energy,Oil & Gas Production
ECAT,Finance,Finance/Investors Services
ECG,Consumer Discretionary,Homebuilding
ECL,Consumer Discretionary,Package Goods/Cosmetics
ECO,Consumer Discretionary,Marine Transportation
ECVT,Industrials,Major Chemicals
ED,Utilities,Power Generation
EDU,Real Estate,Other Consumer Services
EE,Utilities,Oil/Gas Transmission
EFC,Finance,Real Estate
EFOR,Consumer Discretionary,Professional Services
EFT,Finance,Finance Companies
EFX,Finance,Finance: Consumer Services
EFXT,Industrials,Industrial Machinery/Components
EG,Finance,Property-Casualty Insurers
EGO,Basic Materials,Precious Metals
EGP,Real Estate,Real Estate Investment Trusts
EGY,Energy,Oil & Gas Production
EHC,Health Care,Hospital/Nursing Management
EIG,Finance,Property-Casualty Insurers
EIX,Utilities,Electric Utilities: Central
EL,Consumer Discretionary,Package Goods/Cosmetics
ELAN,Health Care,Biotechnology: Pharmaceutical Preparations
ELF,Consumer Discretionary,Package Goods/Cosmetics
ELPC,Utilities,Electric Utilities: Central
ELS,Real Estate,Real Estate Investment Trusts
ELV,Health Care,Medical Specialities
EMA,Utilities,Electric Utilities: Central
EMBJ,Industrials,Aerospace
EME,Industrials,Engineering & Construction
EMN,Industrials,Major Chemicals
EMR,Technology,Consumer Electronics/Appliances
ENB,Energy,Natural Gas Distribution
ENOV,Health Care,Industrial Specialties
ENR,Miscellaneous,Industrial Machinery/Components
ENS,Miscellaneous,Industrial Machinery/Components
ENVA,Finance,Finance: Consumer Services
EOG,Energy,Oil & Gas Production
EPAC,Technology,Industrial Machinery/Components
EPAM,Technology,EDP Services
EPC,Consumer Discretionary,Package Goods/Cosmetics
EPD,Utilities,Natural Gas Distribution
EPR,Real Estate,Real Estate Investment Trusts
EPRT,Real Estate,Real Estate Investment Trusts
EQH,Finance,Specialty Insurers
EQNR,Energy,Integrated oil Companies
EQR,Real Estate,Real Estate Investment Trusts
EQT,Energy,Oil & Gas Production
ERO,Basic Materials,Metal Mining
EROC,Energy,Industrial Machinery/Components
EROK,Energy,Oil & Gas Production
ES,Utilities,Electric Utilities: Central
ESAB,Industrials,Industrial Machinery/Components
ESE,Telecommunications,Telecommunications Equipment
ESI,Industrials,Major Chemicals
ESNT,Finance,Property-Casualty Insurers
ESS,Real Estate,Real Estate Investment Trusts
ESTC,Technology,Computer Software: Prepackaged Software
ET,Utilities,Natural Gas Distribution
ETD,Consumer Discretionary,Home Furnishings
ETN,Technology,Industrial Machinery/Components
ETR,Utilities,Electric Utilities: Central
ETSY,Consumer Discretionary,Business Services
ETV,Finance,Investment Bankers/Brokers/Service
ETW,Finance,Investment Managers
EVC,Industrials,Broadcasting
EVMN,Health Care,Biotechnology: Pharmaceutical Preparations
EVR,Finance,Investment Managers
EVTC,Technology,EDP Services
EW,Health Care,Industrial Specialties
EXK,Basic Materials,Precious Metals
EXP,Industrials,Building Materials
EXPD,Industrials,Integrated Freight & Logistics
EXR,Real Estate,Real Estate Investment Trusts
F,Industrials,Auto Manufacturing
FAF,Finance,Specialty Insurers
FBIN,Basic Materials,Forest Products
FBK,Finance,Major Banks
FBP,Finance,Major Banks
FBRT,Real Estate,Real Estate Investment Trusts
FCF,Finance,Major Banks
FCN,Consumer Discretionary,Professional Services
FCPT,Real Estate,Real Estate Investment Trusts
FCX,Basic Materials,Metal Mining
FDS,Technology,Computer Software: Programming Data Processing
FDX,Consumer Discretionary,Air Freight/Delivery Services
FDXF,Consumer Discretionary,Air Freight/Delivery Services
FE,Utilities,Electric Utilities: Central
FERG,Miscellaneous,Miscellaneous
FET,Consumer Discretionary,Oil and Gas Field Machinery
FG,Finance,Life Insurance
FHI,Finance,Investment Managers
FHN,Finance,Major Banks
FICO,Consumer Discretionary,Business Services
FIG,Technology,Computer Software: Prepackaged Software
FIGS,Consumer Discretionary,Apparel
FIS,Consumer Discretionary,Business Services
FITB,Finance,Major Banks
FIX,Industrials,Engineering & Construction
FLG,Finance,Banks
FLNG,Consumer Discretionary,Marine Transportation
FLO,Consumer Staples,Packaged Foods
FLOC,Consumer Discretionary,Oil and Gas Field Machinery
FLR,Industrials,Military/Government/Technical
FLS,Industrials,Fluid Controls
FLUT,Technology,Computer Software: Programming Data Processing
FMC,Industrials,Major Chemicals
FMS,Health Care,Misc Health and Biotechnology Services
FMX,Consumer Staples,Beverages (Production/Distribution)
FN,Utilities,Telecommunications Equipment
FNB,Finance,Major Banks
FND,Consumer Discretionary,RETAIL: Building Materials
FNF,Finance,Specialty Insurers
FNV,Basic Materials,Precious Metals
FOUR,Consumer Discretionary,Business Services
FPH,Finance,Real Estate
FPI,Real Estate,Real Estate Investment Trusts
FPS,Energy,Industrial Machinery/Components
FR,Real Estate,Real Estate Investment Trusts
FRA,Finance,Investment Bankers/Brokers/Service
FRO,Consumer Discretionary,Marine Transportation
FRT,Real Estate,Real Estate Investment Trusts
FSCO,Finance,Trusts Except Educational Religious and Charitable
FSK,Finance,Investment Managers
FSM,Basic Materials,Precious Metals
FSS,Industrials,Auto Manufacturing
FTI,Consumer Discretionary,Oil and Gas Field Machinery
FTK,Industrials,Major Chemicals
FTS,Utilities,Electric Utilities: Central
FTV,Industrials,Industrial Machinery/Components
FUBO,Consumer Discretionary,Movies/Entertainment
FUL,Industrials,Home Furnishings
FUN,Consumer Discretionary,Services-Misc. Amusement & Recreation
FVR,Real Estate,Real Estate Investment Trusts
FVRR,Consumer Discretionary,Business Services
G,Consumer Discretionary,Professional Services
GAB,Finance,Investment Managers
GAP,Consumer Discretionary,Clothing/Shoe/Accessory Stores
GATX,Consumer Discretionary,Transportation Services
GBAB,Finance,Investment Managers
GBCI,Finance,Major Banks
GBTG,Consumer Discretionary,Transportation Services
GBX,Industrials,Railroads
GCO,Consumer Discretionary,Clothing/Shoe/Accessory Stores
GD,Industrials,Marine Transportation
GDDY,Technology,EDP Services
GDOT,Finance,Finance: Consumer Services
GE,Technology,Consumer Electronics/Appliances
GEL,Energy,Oil Refining/Marketing
GENI,Consumer Discretionary,Services-Misc. Amusement & Recreation
GEO,Consumer Discretionary,Homebuilding
GEV,Technology,Consumer Electronics/Appliances
GFF,Industrials,Building Products
GFI,Basic Materials,Precious Metals
GFL,Utilities,Environmental Services
GFR,Energy,Oil & Gas Production
GGG,Industrials,Fluid Controls
GHM,Industrials,Industrial Machinery/Components
GIB,Consumer Discretionary,Professional Services
GIC,Industrials,Industrial Machinery/Components
GIL,Consumer Discretionary,Apparel
GIS,Consumer Staples,Packaged Foods
GKOS,Health Care,Medical/Dental Instruments
GL,Finance,Life Insurance
GLAS,Health Care, Medicinal Chemicals and Botanical Products 
GLOB,Technology,EDP Services
GLP,Energy,Oil Refining/Marketing
GLW,Industrials,Telecommunications Equipment
GM,Industrials,Auto Manufacturing
GME,Consumer Discretionary,Electronics Distribution
GMED,Health Care,Medical/Dental Instruments
GMRS,Consumer Discretionary,Transportation Services
GNK,Consumer Discretionary,Marine Transportation
GNL,Real Estate,Real Estate Investment Trusts
GNRC,Consumer Discretionary,Metal Fabrications
GNW,Finance,Life Insurance
GOLD,Industrials,Other Specialty Stores
GOLF,Consumer Discretionary,Recreational Games/Products/Toys
GOOS,Consumer Discretionary,Apparel
GPC,Consumer Discretionary,Automotive Aftermarket
GPGI,Finance,Finance: Consumer Services
GPI,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
GPK,Consumer Discretionary,Containers/Packaging
GPN,Consumer Discretionary,Business Services
GPOR,Energy,Oil & Gas Production
GPRK,Energy,Oil & Gas Production
GRBK,Consumer Discretionary,Homebuilding
GRC,Industrials,Fluid Controls
GRDN,Consumer Staples,Retail-Drug Stores and Proprietary Stores
GRMN,Industrials,Industrial Machinery/Components
GRND,Technology,Computer Software: Programming Data Processing
GS,Finance,Investment Bankers/Brokers/Service
GSBD,Finance,Investment Managers
GSK,Health Care,Biotechnology: Pharmaceutical Preparations
GSL,Consumer Discretionary,Marine Transportation
GTES,Industrials,Industrial Machinery/Components
GTN,Industrials,Broadcasting
GTY,Finance,Real Estate
GUT,Finance,Trusts Except Educational Religious and Charitable
GVA,Industrials,Military/Government/Technical
GWRE,Technology,Computer Software: Prepackaged Software
GWW,Industrials,Office Equipment/Supplies/Services
GXO,Consumer Discretionary,Transportation Services
H,Consumer Discretionary,Hotels/Resorts
HAE,Health Care,Medical/Dental Instruments
HAFN,Consumer Discretionary,Transportation Services
HAL,Energy,Oilfield Services/Equipment
HASI,Finance,Finance/Investors Services
HAWK,Technology,EDP Services
HAYW,Industrials,Industrial Machinery/Components
HBB,Consumer Discretionary,Home Furnishings
HBM,Basic Materials,Metal Mining
HCA,Health Care,Hospital/Nursing Management
HCC,Energy,Coal Mining
HCI,Finance,Property-Casualty Insurers
HD,Consumer Discretionary,RETAIL: Building Materials
HDB,Finance,Commercial Banks
HE,Utilities,Electric Utilities: Central
HEI,Industrials,Aerospace
HESM,Energy,Oil & Gas Production
HG,Finance,Property-Casualty Insurers
HGTY,Finance,Specialty Insurers
HGV,Consumer Discretionary,Hotels/Resorts
HHH,Real Estate,Real Estate Investment Trusts
HIG,Finance,Property-Casualty Insurers
HII,Industrials,Marine Transportation
HIMS,Health Care,Medical/Nursing Services
HIPO,Finance,Property-Casualty Insurers
HIW,Real Estate,Real Estate Investment Trusts
HL,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
HLF,Health Care,Other Pharmaceuticals
HLI,Finance,Investment Managers
HLIO,Industrials,Metal Fabrications
HLN,Consumer Discretionary,Package Goods/Cosmetics
HLT,Consumer Discretionary,Hotels/Resorts
HLX,Energy,Oilfield Services/Equipment
HMC,Industrials,Auto Manufacturing
HMN,Finance,Property-Casualty Insurers
HMY,Basic Materials,Precious Metals
HNGE,Technology,EDP Services
HNI,Consumer Discretionary,Office Equipment/Supplies/Services
HOG,Consumer Discretionary,Motor Vehicles
HOMB,Finance,Major Banks
HP,Energy,Oil & Gas Production
HPE,Technology,Retail: Computer Software & Peripheral Equipment
HPP,Finance,Real Estate
HPQ,Technology,Computer Manufacturing
HQH,Finance,Finance Companies
HQL,Finance,Investment Managers
HR,Real Estate,Real Estate Investment Trusts
HRB,Consumer Discretionary,Other Consumer Services
HRI,Industrials,Misc Corporate Leasing Services
HRL,Consumer Staples,Meat/Poultry/Fish
HRTG,Finance,Property-Casualty Insurers
HSBC,Finance,Savings Institutions
HSHP,Consumer Discretionary,Marine Transportation
HSY,Consumer Staples,Specialty Foods
HTGC,Finance,Investment Managers
HTH,Finance,Major Banks
HUBB,Technology,Electrical Products
HUBS,Technology,Computer Software: Prepackaged Software
HUM,Health Care,Medical Specialities
HUN,Industrials,Major Chemicals
HVT,Consumer Discretionary,Other Specialty Stores
HWM,Industrials,Metal Fabrications
HXL,Industrials,Major Chemicals
HY,Industrials,Construction/Ag Equipment/Trucks
HZO,Consumer Discretionary,Auto & Home Supply Stores
IAG,Basic Materials,Precious Metals
IBM,Technology,Computer Manufacturing
IBN,Finance,Commercial Banks
IBP,Consumer Discretionary,Homebuilding
IBTA,Consumer Discretionary,Advertising
ICE,Finance,Investment Bankers/Brokers/Service
ICL,Industrials,Agricultural Chemicals
IDA,Utilities,Electric Utilities: Central
IDT,Telecommunications,Telecommunications Equipment
IEX,Industrials,Fluid Controls
IFF,Industrials,Major Chemicals
IFS,Finance,Commercial Banks
IHG,Consumer Discretionary,Hotels/Resorts
IHS,Telecommunications,Telecommunications Equipment
IIIN,Industrials,Steel/Iron Ore
IIPR,Finance,Real Estate
IMAX,Consumer Discretionary,Industrial Machinery/Components
INFQ,Technology,EDP Services
INFY,Technology,EDP Services
ING,Finance,Commercial Banks
INGM,Technology,Retail: Computer Software & Peripheral Equipment
INGR,Consumer Staples,Packaged Foods
INN,Real Estate,Real Estate Investment Trusts
INR,Energy,Oil & Gas Production
INSP,Health Care,Medical/Dental Instruments
INSW,Consumer Discretionary,Marine Transportation
INVH,Finance,Real Estate
INVX,Consumer Discretionary,Oil and Gas Field Machinery
IONQ,Technology,EDP Services
IOT,Technology,EDP Services
IP,Basic Materials,Paper
IPI,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
IQI,Finance,Finance Companies
IQV,Health Care,Biotechnology: Commercial Physical & Biological Resarch
IR,Industrials,Industrial Machinery/Components
IRM,Real Estate,Real Estate Investment Trusts
IRS,Real Estate,Homebuilding
IRT,Real Estate,Real Estate Investment Trusts
IT,Consumer Discretionary,Other Consumer Services
ITGR,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ITT,Industrials,Fluid Controls
ITUB,Finance,Major Banks
ITW,Industrials,Industrial Machinery/Components
IVR,Real Estate,Real Estate Investment Trusts
IVT,Real Estate,Real Estate Investment Trusts
IVZ,Finance,Investment Managers
IX,Finance,Diversified Financial Services
J,Industrials,Military/Government/Technical
JAN,Real Estate,Real Estate Investment Trusts
JBGS,Real Estate,Real Estate Investment Trusts
JBI,Industrials,Building Products
JBL,Technology,Electrical Products
JBS,Consumer Staples,Meat/Poultry/Fish
JBTM,Industrials,Industrial Machinery/Components
JCI,Industrials,Industrial Machinery/Components
JEF,Finance,Investment Bankers/Brokers/Service
JHX,Industrials,Building Materials
JKS,Technology,Semiconductors
JLL,Finance,Real Estate
JMIA,Consumer Discretionary,Catalog/Specialty Distribution
JMKE,Consumer Discretionary,Restaurants
JNJ,Health Care,Biotechnology: Pharmaceutical Preparations
JOBY,Industrials,Aerospace
JOE,Real Estate,Homebuilding
JPM,Finance,Major Banks
JXN,Finance,Life Insurance
KAI,Industrials,Industrial Machinery/Components
KB,Finance,Commercial Banks
KBH,Consumer Discretionary,Homebuilding
KBR,Industrials,Military/Government/Technical
KD,Technology,EDP Services
KEP,Utilities,Electric Utilities: Central
KEX,Consumer Discretionary,Marine Transportation
KEY,Finance,Major Banks
KEYS,Industrials,Industrial Machinery/Components
KFRC,Consumer Discretionary,Professional Services
KFY,Consumer Discretionary,Diversified Commercial Services
KGC,Basic Materials,Precious Metals
KGS,Utilities,Natural Gas Distribution
KIM,Real Estate,Real Estate Investment Trusts
KKR,Finance,Investment Managers
KLAR,Finance,Finance: Consumer Services
KLC,Consumer Discretionary,Other Consumer Services
KMI,Utilities,Natural Gas Distribution
KMPR,Finance,Property-Casualty Insurers
KMT,Industrials,Industrial Machinery/Components
KMX,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
KN,Consumer Staples,Consumer Electronics/Appliances
KNF,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
KNSL,Finance,Property-Casualty Insurers
KNTK,Utilities,Natural Gas Distribution
KNX,Industrials,Trucking Freight/Courier Services
KO,Consumer Staples,Beverages (Production/Distribution)
KODK,Consumer Discretionary,Industrial Machinery/Components
KOF,Consumer Staples,Beverages (Production/Distribution)
KOP,Basic Materials,Forest Products
KR,Consumer Staples,Food Chains
KRC,Real Estate,Real Estate Investment Trusts
KREF,Real Estate,Real Estate Investment Trusts
KRG,Real Estate,Real Estate Investment Trusts
KRMN,Industrials,Military/Government/Technical
KRO,Basic Materials,Major Chemicals
KRP,Energy,Oil & Gas Production
KSS,Consumer Discretionary,Department/Specialty Retail Stores
KT,Telecommunications,Telecommunications Equipment
KTB,Industrials,Garments and Clothing
KTF,Finance,Finance Companies
KVUE,Consumer Discretionary,Package Goods/Cosmetics
KVYO,Technology,Computer Software: Prepackaged Software
KWR,Industrials,Major Chemicals
KYN,Finance,Finance/Investors Services
L,Finance,Property-Casualty Insurers
LAD,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
LADR,Real Estate,Real Estate Investment Trusts
LAR,Basic Materials,Metal Mining
LAZ,Finance,Investment Managers
LB,Energy,Oil & Gas Production
LBRT,Energy,Oilfield Services/Equipment
LCII,Consumer Discretionary,Auto Parts:O.E.M.
LCLN,Finance,Investment Managers
LDOS,Technology,EDP Services
LEA,Consumer Discretionary,Auto Parts:O.E.M.
LEG,Consumer Discretionary,Home Furnishings
LEN,Consumer Discretionary,Homebuilding
LEO,Finance,Trusts Except Educational Religious and Charitable
LEU,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
LEVI,Consumer Discretionary,Apparel
LH,Health Care,Medical Specialities
LHX,Industrials,Industrial Machinery/Components
LII,Industrials,Industrial Machinery/Components
LION,Consumer Discretionary,Movies/Entertainment
LLY,Health Care,Biotechnology: Pharmaceutical Preparations
LMND,Finance,Property-Casualty Insurers
LMT,Industrials,Military/Government/Technical
LNC,Finance,Life Insurance
LNG,Utilities,Oil/Gas Transmission
LOAR,Industrials,Military/Government/Technical
LOB,Finance,Major Banks
LOMA,Industrials,Building Materials
LOW,Consumer Discretionary,RETAIL: Building Materials
LPG,Consumer Discretionary,Marine Transportation
LPX,Basic Materials,Forest Products
LRN,Real Estate,Other Consumer Services
LSPD,Technology,Computer Software: Prepackaged Software
LTC,Real Estate,Real Estate Investment Trusts
LTH,Consumer Discretionary,Hotels/Resorts
LTM,Consumer Discretionary,Air Freight/Delivery Services
LUMN,Telecommunications,Telecommunications Equipment
LUV,Consumer Discretionary,Air Freight/Delivery Services
LUXE,Consumer Discretionary,Catalog/Specialty Distribution
LVS,Consumer Discretionary,Hotels/Resorts
LW,Consumer Staples,Packaged Foods
LXP,Real Estate,Real Estate Investment Trusts
LXU,Basic Materials,Major Chemicals
LYB,Industrials,Major Chemicals
LYG,Finance,Commercial Banks
LYV,Consumer Discretionary,Services-Misc. Amusement & Recreation
LZB,Consumer Discretionary,Home Furnishings
M,Consumer Discretionary,Department/Specialty Retail Stores
MA,Consumer Discretionary,Business Services
MAA,Real Estate,Real Estate Investment Trusts
MAC,Real Estate,Real Estate Investment Trusts
MAGN,Basic Materials,Paper
MAIN,Finance,Finance/Investors Services
MAIR,Industrials,Pollution Control Equipment
MAN,Consumer Discretionary,Professional Services
MANE,Health Care,Biotechnology: Pharmaceutical Preparations
MANU,Consumer Discretionary,Services-Misc. Amusement & Recreation
MAS,Industrials,Industrial Specialties
MATV,Basic Materials,Paper
MATX,Consumer Discretionary,Marine Transportation
MAX,Consumer Discretionary,Business Services
MBC,Consumer Discretionary,Home Furnishings
MBGL,Consumer Discretionary,Business Services
MC,Finance,Investment Managers
MCD,Consumer Discretionary,Restaurants
MCK,Health Care,Other Pharmaceuticals
MCO,Finance,Finance: Consumer Services
MCS,Consumer Discretionary,Movies/Entertainment
MCY,Finance,Property-Casualty Insurers
MD,Health Care,Hospital/Nursing Management
MDA,Consumer Discretionary,Electronic Components
MDT,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
MDU,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
MEC,Industrials,Industrial Specialties
MEI,Technology,Electrical Products
MET,Finance,Life Insurance
MFA,Real Estate,Real Estate Investment Trusts
MFC,Finance,Life Insurance
MFG,Finance,Major Banks
MGA,Consumer Discretionary,Auto Parts:O.E.M.
MGM,Consumer Discretionary,Hotels/Resorts
MGY,Energy,Oil & Gas Production
